metric,comparison,comparison_label,aggregation_level,target_id,target_label,workload_id,rss_work_model,eligible_for_suite_headline,diagnostic_only,ratio,observation_count,note
peak_rss,end_to_end,End to end,workload_paired_run_median,swc,SWC,large_all_es5,workload_native_adaptive_iterations,False,True,1.0162396246842296,5,median of five paired-run ratios
peak_rss,end_to_end,End to end,within_target_geometric_mean,swc,SWC,,workload_native_adaptive_iterations,False,True,1.0237178442288049,5,geometric mean across workload paired-run medians within target
performance,policy_increment,Policy increment,workload_paired_run_median,swc,SWC,large_parser,workload_native_adaptive_iterations,True,False,1.0069677177996355,5,median of five paired-run ratios
performance,policy_increment,Policy increment,workload_paired_run_median,swc,SWC,large_fixer,workload_native_adaptive_iterations,True,False,1.0215200826192539,5,median of five paired-run ratios
performance,policy_increment,Policy increment,workload_paired_run_median,swc,SWC,large_codegen_es2020,workload_native_adaptive_iterations,True,False,0.9877559865640914,5,median of five paired-run ratios
performance,policy_increment,Policy increment,workload_paired_run_median,swc,SWC,large_all_es2020,workload_native_adaptive_iterations,True,False,1.0055576457941413,5,median of five paired-run ratios
performance,policy_increment,Policy increment,workload_paired_run_median,swc,SWC,large_all_es5,workload_native_adaptive_iterations,True,False,1.0085506626763574,5,median of five paired-run ratios
performance,policy_increment,Policy increment,within_target_geometric_mean,swc,SWC,,workload_native_adaptive_iterations,True,False,1.0060124694551897,5,geometric mean across workload paired-run medians within target
peak_rss,policy_increment,Policy increment,workload_paired_run_median,swc,SWC,large_parser,workload_native_adaptive_iterations,False,True,1.0203038270522933,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,workload_paired_run_median,swc,SWC,large_fixer,workload_native_adaptive_iterations,False,True,1.002162024672517,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,workload_paired_run_median,swc,SWC,large_codegen_es2020,workload_native_adaptive_iterations,False,True,1.0182305630026809,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,workload_paired_run_median,swc,SWC,large_all_es2020,workload_native_adaptive_iterations,False,True,1.0080180405913306,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,workload_paired_run_median,swc,SWC,large_all_es5,workload_native_adaptive_iterations,False,True,1.0248235580433196,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,within_target_geometric_mean,swc,SWC,,workload_native_adaptive_iterations,False,True,1.0146732197539292,5,geometric mean across workload paired-run medians within target
performance,compiler_route,Compiler route,workload_paired_run_median,rustpython,RustPython,parse_mandelbrot,workload_native_adaptive_iterations,True,False,4.578978311993729,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,rustpython,RustPython,execute_mandelbrot,workload_native_adaptive_iterations,True,False,1.0626138699918097,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,workload_paired_run_median,rustpython,RustPython,execute_nbody,workload_native_adaptive_iterations,True,False,1.429064173549968,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,rustpython,RustPython,execute_fannkuch,workload_native_adaptive_iterations,True,False,4.6154719754158595,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,rustpython,RustPython,pystone_30000,workload_native_adaptive_iterations,True,False,3.5993407498969923,5,median of five paired-run ratios
performance,compiler_route,Compiler route,within_target_geometric_mean,rustpython,RustPython,,workload_native_adaptive_iterations,True,False,2.585395425373309,5,geometric mean across workload paired-run medians within target
performance,compiler_route,Compiler route,route_equivalent_within_target_geometric_mean,rustpython,RustPython,,workload_native_adaptive_iterations,True,False,1.0626138699918097,1,geometric mean across route-equivalent workloads within target
peak_rss,compiler_route,Compiler route,workload_paired_run_median,rustpython,RustPython,parse_mandelbrot,workload_native_adaptive_iterations,False,True,1.0057460256655812,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,rustpython,RustPython,execute_mandelbrot,workload_native_adaptive_iterations,False,True,1.016600391340024,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,compiler_route,Compiler route,workload_paired_run_median,rustpython,RustPython,execute_nbody,workload_native_adaptive_iterations,False,True,1.011693723953474,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,rustpython,RustPython,execute_fannkuch,workload_native_adaptive_iterations,False,True,0.9286965898369053,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,rustpython,RustPython,pystone_30000,workload_native_adaptive_iterations,False,True,0.9258802034467434,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,within_target_geometric_mean,rustpython,RustPython,,workload_native_adaptive_iterations,False,True,0.9768396077115173,5,geometric mean across workload paired-run medians within target
performance,end_to_end,End to end,workload_paired_run_median,rustpython,RustPython,parse_mandelbrot,workload_native_adaptive_iterations,True,False,4.616939998682738,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,rustpython,RustPython,execute_mandelbrot,workload_native_adaptive_iterations,True,False,1.0259516431069053,5,median of five paired-run ratios; compiler-route-equivalent
performance,end_to_end,End to end,workload_paired_run_median,rustpython,RustPython,execute_nbody,workload_native_adaptive_iterations,True,False,1.4740412445730824,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,rustpython,RustPython,execute_fannkuch,workload_native_adaptive_iterations,True,False,4.674727770726168,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,rustpython,RustPython,pystone_30000,workload_native_adaptive_iterations,True,False,3.602444462796267,5,median of five paired-run ratios
